user_id,experiment_name,variant,assigned_ts
u_000000,onboarding_v2,treatment,2024-02-19 04:00:00
u_000001,onboarding_v2,treatment,2025-02-26 20:00:00
u_000007,onboarding_v2,control,2025-01-15 02:00:00
u_000010,onboarding_v2,control,2024-10-15 12:00:00
u_000011,onboarding_v2,control,2025-06-17 20:00:00
u_000012,onboarding_v2,treatment,2025-02-05 06:00:00
u_000013,onboarding_v2,treatment,2025-02-19 02:00:00
u_000016,onboarding_v2,treatment,2024-10-08 21:00:00
u_000017,onboarding_v2,treatment,2024-03-10 05:00:00
u_000019,onboarding_v2,treatment,2024-09-03 20:00:00
u_000020,onboarding_v2,treatment,2024-10-01 19:00:00
u_000022,onboarding_v2,treatment,2024-04-10 13:00:00
u_000023,onboarding_v2,treatment,2025-05-21 03:00:00
u_000026,onboarding_v2,treatment,2024-08-08 21:00:00
u_000028,onboarding_v2,control,2024-10-24 16:00:00
u_000029,onboarding_v2,treatment,2024-08-31 08:00:00
u_000030,onboarding_v2,control,2024-09-02 23:00:00
u_000031,onboarding_v2,control,2024-05-04 05:00:00
u_000032,onboarding_v2,treatment,2024-02-20 05:00:00
u_000033,onboarding_v2,control,2024-10-30 13:00:00
u_000034,onboarding_v2,control,2025-04-29 08:00:00
u_000035,onboarding_v2,control,2024-02-05 16:00:00
u_000036,onboarding_v2,control,2025-04-13 08:00:00
u_000038,onboarding_v2,control,2024-06-01 14:00:00
u_000040,onboarding_v2,treatment,2024-04-01 17:00:00
u_000041,onboarding_v2,treatment,2025-02-17 08:00:00
u_000043,onboarding_v2,control,2024-07-13 16:00:00
u_000044,onboarding_v2,treatment,2024-02-07 06:00:00
u_000047,onboarding_v2,control,2025-05-03 21:00:00
u_000048,onboarding_v2,treatment,2025-01-05 11:00:00
u_000049,onboarding_v2,control,2025-02-28 20:00:00
u_000051,onboarding_v2,control,2024-04-16 15:00:00
u_000052,onboarding_v2,treatment,2024-07-17 15:00:00
u_000053,onboarding_v2,treatment,2024-09-12 03:00:00
u_000055,onboarding_v2,control,2024-01-24 05:00:00
u_000056,onboarding_v2,control,2024-10-25 02:00:00
u_000058,onboarding_v2,control,2025-02-10 15:00:00
